Yard Line,4th & 1: GFI,4th & 1: P,4th & 1: FG,4th & 2: GFI,4th & 2: P,4th & 2: FG,4th & 3: GFI,4th & 3: P,4th & 3: FG,4th & 4: GFI,4th & 4: P,4th & 4: FG,4th & 5: GFI,4th & 5: P,4th & 5: FG,4th & 6: GFI,4th & 6: P,4th & 6: FG,4th & 7: GFI,4th & 7: P,4th & 7: FG,4th & 8: GFI,4th & 8: P,4th & 8: FG,4th & 9: GFI,4th & 9: P,4th & 9: FG,4th & 10: GFI,4th & 10: P,4th & 10: FG,4th & 11: GFI,4th & 11: FG,4th & 11: P,4th & 12: GFI,4th & 12: P,4th & 12: FG,4th & 13: GFI,4th & 13: P,4th & 13: FG,4th & 14: GFI,4th & 14: P,4th & 14: FG,4th & 15: GFI,4th & 15: P,4th & 15: FG
1,0,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2,0,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
3,0,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
4,0,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
5,0,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
6,0,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
7,0,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
8,0,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
9,0,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
10,0,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
